--------- beginning of main
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.view.contentcapture.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.app.job is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.content.res is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.net.platform.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.aconfig.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.graphics.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.server.app is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.speech.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.server.stats is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.hardware.biometrics is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.car.feature is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.adpf is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.location.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.settingslib.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.managedprovisioning.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.app.assist.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.server.net is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.settingslib.widget.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.internal.camera.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.hardware.libsensor.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.internal.jank is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.providers.settings is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.multiuser is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.server.power.optimization is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.calllogbackup is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.media.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.server.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.graphics.libvulkan.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.app.appfunctions.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.app.smartspace.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.shell.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.media.aaudio is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.hardware.radio is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: suspend_service.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.media.midi is mapped to system
